Vanvard	VANPN
skapanarverk	SNPN

Men	C
sálarlig	APSFSN
skroypiligheit	SFSN
og	C
styrki	SFSN
og	C
tann	PDFSA
vanvarda	APWFSA
javnvágin	SFSNA
har	DN
ímillum	DN
hava	VNPP3
verið	VA
frammaliga	DN
í	ED
huganum	SMSDA
hjá	ED
mær	P1SD
,	,
meðan	C
eg	P1SN
havi	VNPS1
arbeitt	VA
við	ED
lutunum	SMPDA
,	,
sigur	VNPS3
Guðrið	SFSNP
.	.

Hyggur	VNPS2
tú	P2SN
til	EG
dømis	SNSG
eitt	PINSA
sindur	SNSA
á	EA
skák	SNSA
niður	DN
á	EA
lutin	SMSAA
beint	DN
frammanfyri	DD
vindeyganum	SNSDA
omaneftir	DN
,	,
minnir	VNPS3
hann	PMSN
kanska	DN
mest	DSN
um	EA
ein	PIMSA
skansa	SMSA
,	,
sum	CR
onki	DN
kann	VNPS3
órógva	VI
.	.

Myndirnar	SFPAA
av	ED
æti	SNSD
kenni	VNPS1
eg	P1SN
aftur	DN
,	,
men	C
hinar	PDFPN
síggja	VNPP3
út	DN
sum	C
eitthvørt	PINSN
frá	ED
eini	PIFSD
aðrari	PIFSD
gongustjørnu	SFSD
.	.

Meðan	C
leikararnir	SMPNA
á	ED
danska	APWNSD
meistaraliðnum	SNSDA
FC	F
Keypmannahavn	SFSDL
sótu	VNAP3
til	EG
borðs	SNSG
og	C
fingu	VNAP3
sær	PMPD
ein	PIMSA
betri	ACSMSA
bita	SMSA
á	ED
Hotel	SNSD
Føroyum	SFPDL
,	,
sum	CR
Tórshavnar	SFSGL
Býráð	SNSN
bjóðaði	VNAS3
,	,
sótu	VNAP3
leikararnir	SMPNA
á	ED
føroyska	APWNSD
meistaraliðnum	APSNPD
HB	T
á	ED
eini	PIFSD
pitsamatstovu	SFSA
og	C
ótu	VNAP3
pitsa	VI
fyri	EA
egna	APSFSA
rokning	SFSA
.	.

Hetta	PDNSN
er	VNPS3
jú	DN
ein	PIFSN
lítil	APSFSN
sensatión	SFSN
,	,
má	VNPS3
man	PINSN
siga	VI
,	,
sigur	VNPS3
borgarstjórin	SMSNA
í	EA
Havn	SFSAL
,	,
Jan	SMSNP
Christiansen	SXP
,	,
sum	CR
mikudagin	SMSAA
var	VNAS3
á	EA
vitjan	SFSA
hjá	ED
nýføddu	APWMPD
tríburunum	SMPDA
.	.

Seinast	DSN
,	,
Tórshavnar	SFSGL
býráð	SNSN
heiðraði	VNAS3
einum	PIMSD
nýføðingi	SMSD
,	,
var	VNAS3
,	,
tá	C
borgari	SMSN
nummar	SNSN
18.000	NC
varð	VNAS3
føddur	VAMSN
,	,
og	C
samanber	VNPS3
borgarstjórin	SMSNA
hesa	PDFSA
stóru	APWFSA
hendingina	SFSAA
við	EA
tað	PNSA
.	.

Lummatjóvar	SMPN
í	ED
Bergen	F

Dansinátt	SFSN
í	ED
Norðurlandahúsinum	SNSDA

Hevur	VNPS3
so	DN
staðið	VA
á	EN
,	,
hevur	VNPS3
tað	PNSN
erið	VA
uppgávan	SFSNA
hjá	ED
vertsfelagnum	SNSDA
at	CI
fáa	VI
dansin	SMSAA
at	CI
ganga	VI
víðari	DCN
.	.

Í	EA
samband	SNSA
við	EA
Listastevnuna	SFSAA
,	,
sum	CR
verður	VNPS3
í	ED
august	SMSD
,	,
verður	VNPS3
eisini	DN
skipað	VANSN
fyri	ED
eini	PIFSD
slíkari	APSFSD
dansinátt	SFSD
.	.

Eitt	DN
nú	DN
ein	PIMSN
ríkisfundur	SMSN
ella	C
ein	PIMSN
kommunusamanleggin	SFSN
.	.

Og	C
heiman	DN
fyri	EA
hólmin	SMSAA
er	VNPS3
Sundið	SNSNAL
rættiliga	DN
gruggut	APSNSN
.	.

Tað	PNSN
livir	VNPS3
nakað	DN
væl	DN
,	,
og	C
alneyðugt	APSNSN
er	VNPS3
við	ED
fríhaldum	SNPD
,	,
tí	C
hesir	PDMPN
nýggju	APWMPN
glastrevjabátarnir	SMPNA
tola	VNPP3
ikki	DN
tað	PNSA
,	,
sum	CR
tann	PDMSN
gamli	APWMSN
báturin	SMSNA
gjørdi	VNAS3
.	.

Fara	VI
inn	DN
í	EA
tað	PNSA
gamla	APWNSA
,	,
men	C
gera	VI
skjótt	DN
av	EN
,	,
tí	C
trongligt	APSNSN
er	VNPS3
.	.

Tíma	VNPP3
ikki	DN
at	CI
ómaka	VI
sær	PMPD
at	CI
rýma	VI
.	.

Onlur	PIMSN
hendinga	APSMSN
lundi	SMSN
kemur	VNPS3
baksandi	VP
uttan	DN
av	ED
havinum	SNSDA
og	C
hvørvur	VNPS3
undir	ED
heilt	DN
her	DN
í	ED
upsini	SFSDA
.	.

Tykist	VEPS3
dáma	VI
væl	DN
hetta	PDNSA
spælið	SNSAA
.	.

Og	C
tað	PNSN
gongur	VNPS3
upp	DN
á	EA
stás	SNSA
.	.

Eisini	DN
onkur	PIMSN
,	,
sum	CR
ynskir	VNPS3
,	,
at	C
farið	VA
verður	VNPS3
víðari	DCN
,	,
so	DN
øll	APWFSN
oyggin	SFSNA
verður	VNPS3
savnað	VAFSN
í	EA
eina	PIFSA
kommunu	SFSA
.	.

So	DN
sum	C
hvar	C
valstøðini	SNPNA
skulu	VNPP3
vera	VI
og	C
soleiðis	DN
.	.

Mijailo	F
Mijailovic	F
skal	VNPS3
ikki	DN
í	EA
fongsul	SNSA

Í	ED
Stockholm	SMSNL
verður	VNPS3
sagt	VANSN
,	,
at	C
í	ED
veruleikanum	SMSDA
merkir	VNPS3
úrskurðurin	SMSNA
,	,
at	C
Mijailo	F
Mijailovic	F
verður	VNPS3
stongdur	VAMSN
inni	DN
á	ED
stovninum	SMSDA
alt	APWNSA
lívið	SNSAA
.	.

Ættfrændur	SMSN
hittust	VEAP3

Henda	PDMSA
dagin	SMSAA
gjørdust	VEAP3
15	NC
børn	SNPN
faðirloysingar	SMPN
.	.

