-	KO
Eg	PP1SN
valdi	VNAS1
hesa	PDFSA
yrkingina	SFSAA
,	KC
tí	C
hon	PPFSN
á	DG
ein	PBMSA
hátt	SMSA
er	VNPS3
ein	PBFSN
ímynd	SFSN
av	DG
tí	PPNSD
,	KC
eg	PP1SN
vil	VNPS1
fortelja	VI
við	DG
framsýningini	SFSDA
,	KC
sigur	VNPS3
Guðrið	SFSNP
.	KE

Tað	PPNSN
er	VNPS3
týðiligt	APSNSN
,	KC
at	CI
tað	PPNSN
ikki	DN
er	VNPS3
av	DG
tilvild	SFSD
,	KC
at	C
listaverkini	SNPNA
hjá	DG
Guðrið	SFSDP
inni	DN
í	DG
Riberhúsi	SNSDP
standa	VNPP3
,	KC
har	DN
teir	PPMPN
standa	VI
og	C
í	DG
eini	PBFSD
ávísari	APSFSD
hædd	SFSD
.	KE

Skapanarverk	SNSN

Eftir	DG
dystin	SMSAA
ímóti	DG
donsku	APWMPD
meistarunum	SMPDA
klæddu	VNAP3
leikararnir	SMPNA
hjá	DG
HB	TS
seg	PPMPA
í	DG
fínasta	ASSNSA
stás	SNSA
,	KC
tí	C
teir	PPMPN
skuldu	VNAP3
til	DG
døgurða	SMSA
saman	DN
við	DG
donsku	APWMPD
gestunum	SMPDA
,	KC
hildu	VNAP3
teir	PPMPN
.	KE

Ein	PBFSN
sensatión	SFSN

Altso	DSN
tað	PPNSN
vil	VNPS3
siga	VI
búsitandi	VP
í	DG
Havn	SFSDP
,	KC
sigur	VNPS3
hann	PPMSN
.	KE

Uttan	DN
úr	DG
heimi	SMSD

Tað	PPNSN
besta	ASSNSN
er	VNPS3
at	CI
hava	VI
hana	PPFSA
frammanfyri	DN
,	KC
og	C
so	DN
er	VNPS3
tað	PPNSN
eisini	DN
eitt	PBNSN
gott	APSNSN
hugskot	SNSN
at	CI
hava	VI
pengarnar	SMPAA
í	DG
taskuni	SFSDA
og	C
gjaldskortini	SNPAA
í	DG
lummanum	SMSDA
ella	C
